epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.5322,1.21914,1.89762,1.05536,0.9057,0.8843,0.95425,0.63408,1.07721,1.33203,0.99664,0.000664112,0.000664112,0.000664112
2,102.267,1.15077,1.07974,1.01235,0.92326,0.92562,0.9722,0.56463,1.23931,1.08688,1.02335,0.00124295,0.00124295,0.00124295
3,148.312,1.12122,0.84437,1.0002,0.91084,0.92875,0.97656,0.69988,0.93647,0.8018,0.93663,0.00173378,0.00173378,0.00173378
4,194.39,1.10493,0.77181,0.98316,0.95889,0.95041,0.98522,0.70516,0.92565,0.64481,0.92249,0.001604,0.001604,0.001604
5,240.162,1.0305,0.69801,0.96979,0.95023,0.94682,0.98554,0.71788,0.90016,0.66177,0.92876,0.001472,0.001472,0.001472
6,323.015,0.98009,0.62297,0.96329,0.95406,0.94398,0.98642,0.70974,0.88217,0.69034,0.92298,0.00134,0.00134,0.00134
7,369.051,0.93997,0.59806,0.95059,0.93677,0.9876,0.98738,0.74294,0.8578,0.55792,0.90037,0.001208,0.001208,0.001208
8,416.509,0.90817,0.55068,0.92317,0.95759,0.97107,0.98848,0.74557,0.84348,0.55563,0.89624,0.001076,0.001076,0.001076
9,481.011,0.86131,0.51641,0.90954,0.97773,0.95868,0.98877,0.71072,0.90714,0.54459,0.90112,0.000944,0.000944,0.000944
10,538.642,0.8609,0.50496,0.90207,0.98331,0.97371,0.98685,0.75989,0.80148,0.50023,0.88366,0.000812,0.000812,0.000812
11,602.013,0.81952,0.47307,0.89403,0.97126,0.97744,0.99036,0.73969,0.86528,0.4783,0.89236,0.00068,0.00068,0.00068
12,663.761,0.79649,0.45352,0.88671,0.96758,0.98675,0.98984,0.79429,0.74068,0.44649,0.86617,0.000548,0.000548,0.000548
13,723.565,0.78688,0.44157,0.87919,0.98258,0.98347,0.99114,0.79846,0.70353,0.42046,0.85464,0.000416,0.000416,0.000416
14,784.39,0.7606,0.4202,0.87008,0.97941,0.9827,0.99079,0.78016,0.74476,0.40523,0.85792,0.000284,0.000284,0.000284
15,845.614,0.73395,0.39713,0.86002,0.98337,0.97759,0.9905,0.80522,0.70071,0.40207,0.85294,0.000152,0.000152,0.000152
